AD,ZipCodes
AD58,"90022,90023,90040,90201,90240,90241,90242,90601,90623,90640,90650,90660,90701,90703,90706,90723,90740,90802"
AD59,"90001,90002,90003,90007,90011,90013,90015,90018,90021,90031,90037,90044,90045,90047,90058,90062,90067,90089,90255,90604"
AD60,"79932,86325,91752,92503,92504,92505,92509,92555,92860,92879,92880,92881,92882,92883,93063,94305"
AD61,"92324,92373,92501,92503,92504,92506,92507,92508,92518,92551,92553,92555,92557,92570,92571,92585"
AD62,"90009,90043,90044,90045,90047,90066,90094,90230,90245,90247,90249,90250,90260,90291,90292,90293,90301,90302,90303,90304,90305,90405"
AD63,"90059,90201,90255,90262,90270,90280,90630,90712,90713,90715,90716,90723,90805,90807,90808"
AD64,"90002,90003,90044,90059,90061,90220,90221,90222,90247,90248,90501,90502,90744,90745,90746,90747,90805,90807,90810"
AD65,"90620,90621,90623,90630,90638,90680,90720,92801,92802,92804,92831,92832,92833,92834,92835,92841"
AD66,"90247,90248,90249,90254,90260,90266,90274,90275,90277,90278,90501,90502,90503,90504,90505,90506,90710,90717,90744,91302"
AD67,
AD68,"92602,92604,92606,92610,92618,92620,92630,92676,92679,92691,92705,92780,92782,92806,92807,92808,92861,92865,92866,92867,92868,92869"
AD69,"92701,92703,92704,92705,92706,92707,92801,92802,92805,92806,92832,92840,92843,92868"
AD70,"90275,90704,90731,90732,90744,90755,90802,90803,90804,90805,90806,90807,90808,90810,90813,90814,90815,90822,90840,90846"
AD71,"91901,91905,91906,91916,91917,91931,91934,91935,91941,91945,91948,91962,91963,91977,91978,91980,92004,92019,92020,92021,92025,92036,92040,92064,92065,92066,92070,92071,92086,92260,92274,92536,92539,92543,92544,92545,92549,92561,92591,92592,92596"
AD72 ,"09180,90680,90720,90740,90742,90743,90808,90815,92646,92647,92648,92649,92655,92683,92691,92703,92704,92708,92804,92840,92841,92843,92844,92845,92846"
AD73,"92624,92629,92653,92656,92672,92673,92675,92676,92677,92678,92679,92688,92691,92692,92694"
AD74 ,"92603,92604,92606,92612,92614,92617,92618,92619,92625,92626,92627,92637,92646,92648,92651,92652,92656,92657,92660,92661,92662,92663,92677"
AD75,"92003,92024,92025,92026,92027,92028,92029,92059,92060,92061,92065,92067,92069,92070,92078,92082,92083,92084,92091,92563,92590,92591,92592,92596"
AD76,"92003,92007,92008,92009,92010,92011,92024,92028,92054,92055,92056,92057,92058,92067,92081,92083,92084,92091,92124,92672"
AD77,"92014,92025,92027,92029,92040,92064,92067,92071,92075,92091,92109,92111,92117,92119,92120,92121,92123,92124,92126,92127,92128,92129,92130,92131,92145"
AD78,"91932,92014,92037,92075,92092,92093,92101,92102,92103,92104,92105,92106,92107,92108,92109,92110,92111,92113,92115,92116,92117,92118,92121,92122,92134,92135,92140,92147,92154,92155,92161"
AD79,"91902,91910,91911,91913,91914,91915,91941,91942,91945,91950,91977,92020,92102,92105,92108,92111,92113,92114,92115,92116,92119,92120,92123,92124,92139,92154,92182"
AD80,"91902,91910,91911,91913,91915,91950,92101,92102,92104,92105,92113,92114,92115,92136,92139,92154,92173"
